Time,Temp(°C),Vpv(V),Iac(A),Vac(V),Fac(Hz),Pac(W),Zac(mOhm),E-Total(kWh),E-Today(kWh),h-Total(h),Vpv1(V),Vpv2(V),Vpv3(V),Ipv1(A),Ipv2(A),Ipv3(A),Ppv1(W),Ppv2(W),Ppv3(W),Iac1(A),Iac2(A),Iac3(A),Vac1(V),Vac2(V),Vac3(V),Temp1(C),Temp2(C),RAD1(W/m^2),RAD2(W/m^2)
2022/12/1107:02:30,28.6,259.2,0.0,231.9,49.93,0,NA,74304.5,0.00,25029,259.2,366.1,290.2,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,231.9,234.5,233.1,NA,NA,NA,NA
2022/12/1107:03:00,28.7,389.2,0.0,231.5,49.94,0,NA,74304.5,0.00,25029,389.2,425.0,431.3,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,231.5,234.4,232.7,NA,NA,NA,NA
2022/12/1107:03:30,28.7,313.6,0.0,231.3,49.98,0,NA,74304.5,0.00,25029,313.6,344.6,394.7,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,231.3,234.2,232.6,NA,NA,NA,NA
2022/12/1107:04:00,28.7,265.0,0.0,231.3,49.98,0,NA,74304.5,0.00,25029,265.0,266.0,322.5,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,231.3,234.5,232.9,NA,NA,NA,NA
2022/12/1107:04:30,28.6,304.0,0.3,232.5,49.92,53,NA,74304.5,0.00,25029,304.0,299.8,315.6,0.0,0.0,0.0,0,0,0,0.3,0.3,0.3,232.5,234.4,234.0,NA,NA,NA,NA
2022/12/1107:05:00,28.6,274.8,0.2,232.3,49.96,34,NA,74304.5,0.00,25029,274.8,256.8,274.8,0.0,0.0,0.0,0,0,0,0.2,0.2,0.2,232.3,234.5,233.9,NA,NA,NA,NA
2022/12/1107:05:30,28.7,410.1,0.3,232.4,49.96,46,NA,74304.5,0.00,25029,410.1,435.5,440.5,0.0,0.0,0.0,0,0,0,0.3,0.2,0.3,232.4,234.4,233.8,NA,NA,NA,NA
2022/12/1107:06:00,28.8,251.4,0.2,232.4,49.93,16,NA,74304.5,0.00,25029,251.4,251.3,263.7,0.0,0.0,0.0,0,0,0,0.2,0.3,0.3,232.4,234.4,233.8,NA,NA,NA,NA
2022/12/1107:06:30,28.9,373.5,0.3,232.6,49.91,17,NA,74304.5,0.00,25029,373.5,359.7,378.0,0.0,0.0,0.0,0,0,0,0.3,0.3,0.3,232.6,234.4,233.7,NA,NA,NA,NA
2022/12/1107:07:00,29.0,390.1,0.3,232.3,49.98,25,NA,74304.5,0.00,25029,390.1,420.6,424.3,0.0,0.0,0.0,0,0,0,0.3,0.3,0.4,232.3,234.5,233.9,NA,NA,NA,NA
